patient_id,category,process_time_ms,num_input_tokens,not_inferred_count
313421,path_cons,56005,1631,1
1296972,path_cons,50113,1668,2
467893,path_cons,53065,2011,3
1519382,path_cons,40133,1667,3
1292894,path_cons,51109,2093,3
1145281,path_cons,60331,1478,3
724427,path_cons,56435,2207,3
763380,path_cons,64937,2519,3
1017733,path_cons,48510,1816,3
1448793,path_cons,50146,2569,3
1048782,path_cons,65582,1439,3
1247386,path_cons,50560,1517,3
1130120,path_cons,60452,3174,3
631720,path_cons,51260,1875,3
474079,path_cons,56968,1706,3
1127947,path_cons,60167,2663,3
1254757,path_cons,51896,2195,4
1147322,path_cons,54790,2944,4
1083442,path_cons,46348,1912,4
973526,path_cons,49968,1394,4
1279649,path_cons,45988,2050,4
1143295,path_cons,52101,1439,4
1454672,path_cons,61306,1465,5
752181,path_cons,51332,1404,5
607008,path_cons,45566,1619,5
1472524,path_cons,51839,1791,5
521644,path_cons,53571,1829,5
1194749,path_cons,46603,1800,5
820516,path_cons,59657,1968,5
1362878,path_cons,47669,2538,5
1237993,path_cons,50467,1296,5
1164060,path_cons,63140,1992,5
1175297,path_cons,49770,1636,5
1442355,path_cons,53641,1369,5
722792,path_cons,57913,2090,5
996342,path_cons,49531,1328,5
1501156,path_cons,50628,1504,5
1058395,path_cons,58059,2082,5
1262214,path_cons,48098,1305,5
775865,path_cons,52328,2330,5
1309309,path_cons,57983,1869,5
1156440,path_cons,56538,1860,5
376941,path_cons,54577,1902,6
870925,path_cons,43365,1726,6
460934,path_cons,51980,1454,6
1135804,path_cons,45021,1778,6
1237434,path_cons,70265,1493,6
1411132,path_cons,50440,1800,6
170012,path_cons,56191,1709,6
236853,path_cons,57149,1846,6
103122,path_cons,59529,1368,6
1414617,path_cons,55016,1282,6
1406086,path_cons,61536,1772,6
1264572,path_cons,51223,1590,6
787603,path_cons,58631,1687,6
1219243,path_cons,44204,1919,6
1226244,path_cons,61255,1710,6
1611667,path_cons,60164,2150,6
1057509,path_cons,54406,1626,6
1362929,path_cons,50715,1782,6
347246,path_cons,70136,1289,6
808965,path_cons,51851,1413,6
745421,path_cons,63264,1458,6
1470637,path_cons,47584,1784,6
825950,path_cons,47651,1319,6
1365459,path_cons,46292,2177,6
1416988,path_cons,57201,1336,6
568216,path_cons,46597,1692,6
1246520,path_cons,49020,1651,6
1110794,path_cons,51883,1941,6
742863,path_cons,56984,1404,6
188433,path_cons,52965,1699,6
1130580,path_cons,50253,1569,6
763510,path_cons,67321,1985,6
1593669,path_cons,55093,1713,6
803211,path_cons,52601,2982,6
900490,path_cons,54724,1678,6
1384219,path_cons,51139,1317,6
930297,path_cons,52797,2959,6
160444,path_cons,51408,1315,6
1189263,path_cons,54691,1655,6
44651,path_cons,46683,2724,6
655883,path_cons,50704,1521,6
1587596,path_cons,46866,2000,6
1045725,path_cons,51708,1577,6
1393583,path_cons,46320,1915,6
1178863,path_cons,53330,1782,6
1503544,path_cons,65715,2747,6
315566,path_cons,77326,1272,6
1089523,path_cons,50193,2712,6
1042445,path_cons,54735,1429,6
220399,path_cons,60963,1428,6
421857,path_cons,95116,1343,6
491733,path_cons,64592,2621,6
1212081,path_cons,53020,1373,6
1264635,path_cons,54250,1431,6
1529931,path_cons,62725,1438,6
9131,path_cons,54069,1909,6
135560,path_cons,48361,1642,6
1269592,path_cons,70131,2118,6
777248,path_cons,46485,1538,6
888602,path_cons,48546,1879,6
1447975,path_cons,53079,2059,7
307869,path_cons,46122,1749,7
700633,path_cons,56582,1449,7
1066995,path_cons,55713,1681,7
1465563,path_cons,51497,1752,7
1208740,path_cons,51781,2196,7
739065,path_cons,55229,1967,7
1021737,path_cons,55371,2920,7
1311697,path_cons,53390,1453,7
1144356,path_cons,54278,1301,7
552746,path_cons,44772,1581,7
1348463,path_cons,48719,1594,7
41566,path_cons,68787,1353,7
571923,path_cons,57716,1533,7
1401958,path_cons,59193,1346,7
1211203,path_cons,45894,1741,7
1586860,path_cons,52314,1397,7
1457682,path_cons,49672,2262,7
245845,path_cons,54511,1687,7
276261,path_cons,77802,4183,7
1303763,path_cons,59116,1351,7
1133805,path_cons,58963,1715,7
125021,path_cons,52947,1768,7
1312475,path_cons,50387,1697,7
388442,path_cons,49595,1658,7
1004073,path_cons,46489,1262,7
56276,path_cons,56034,2085,7
571709,path_cons,50178,1390,7
907559,path_cons,49665,1299,7
1231206,path_cons,59310,1482,7
1560589,path_cons,52824,1928,7
1456142,path_cons,59956,1476,7
174746,path_cons,57252,1480,7
1475978,path_cons,79819,1256,7
1311615,path_cons,70426,1917,7
1328441,path_cons,56998,2486,7
1006301,path_cons,56344,1548,7
183957,path_cons,44793,1603,7
392130,path_cons,85557,1403,7
1205641,path_cons,60805,1486,7
555942,path_cons,69799,1458,7
1410950,path_cons,53799,1568,7
1149638,path_cons,47819,1614,7
1189148,path_cons,60989,2121,7
1237652,path_cons,57450,1649,7
731683,path_cons,59279,1343,7
630726,path_cons,47986,1972,7
1426731,path_cons,52059,1365,7
1197023,path_cons,62349,2149,7
1131291,path_cons,51321,1625,7
1347145,path_cons,52977,1817,7
1024961,path_cons,58431,1450,7
558397,path_cons,61004,1494,7
1109025,path_cons,53640,1716,7
998834,path_cons,52319,1656,7
667872,path_cons,58081,2381,7
761628,path_cons,55409,1598,7
787354,path_cons,42650,1335,7
704145,path_cons,69586,1996,7
1188128,path_cons,46679,1692,7
1621194,path_cons,48977,1879,7
277917,path_cons,61687,2092,7
1218398,path_cons,45194,1572,7
837535,path_cons,57119,1378,7
1136997,path_cons,48833,1815,7
692769,path_cons,51983,1865,7
1287301,path_cons,52206,1374,7
1302380,path_cons,59970,3628,7
581492,path_cons,51608,1689,7
907583,path_cons,55853,2301,7
857282,path_cons,56767,1817,7
385207,path_cons,65634,2669,7
1453403,path_cons,50109,1436,7
345750,path_cons,57117,1870,7
1260134,path_cons,53245,1636,7
1214634,path_cons,58098,1952,7
1230627,path_cons,58433,1842,7
1399697,path_cons,59831,1449,7
